School Name,Suburb,Type,Sector,Geolocation,Latitude,Longitude,VET Certs With 2021 Enrolments,% Applying for Tertiary Study,Median VCE Score,VCE 40+ %,Dist From Melbourne Centre (m)
Hume Anglican Grammar,Mickleham,Combined,Non-Gov,Major Cities,-37.5684,144.931,0,95.3,30,5.3,44607
Huntingtower School,Mount Waverley,Combined,Non-Gov,Major Cities,-37.8767,145.136,9,98.9,37,31.6,23140
Islamic College Of Melbourne,Tarneit,Combined,Non-Gov,Major Cities,-37.8547,144.66,5,100.0,31,5.9,33735
Ivanhoe Girls' Grammar School,Ivanhoe,Combined,Non-Gov,Major Cities,-37.7665,145.047,5,96.5,35,25.5,12027
Ivanhoe Grammar School,Ivanhoe,Combined,Non-Gov,Major Cities,-37.7725,145.04399999999998,2,89.4,32,10.3,11433
John Monash Science School,Clayton,Secondary,Gov,Major Cities,-37.9142,145.129,5,99.1,35,18.7,23511
John Paul College,Frankston,Secondary,Non-Gov,Major Cities,-38.1346,145.139,30,81.7,29,4.0,53559
Kambrya College,Berwick,Secondary,Gov,Major Cities,-38.0537,145.347,38,93.8,31,6.4,48106
Kerang Christian College,Kerang,Combined,Non-Gov,Outer Regional,-35.7304,143.91299999999998,2,50.0,27,4.2,280737
Kerang Technical High School,Kerang,Secondary,Gov,Outer Regional,-35.7257,143.914,10,40.9,30,9.3,281431
Kew High School,Kew East,Secondary,Gov,Major Cities,-37.7947,145.062,16,89.3,30,8.3,13016
Kilbreda College,Mentone,Secondary,Non-Gov,Major Cities,-37.9842,145.066,19,89.4,31,9.9,29394
Killester College,Springvale,Secondary,Non-Gov,Major Cities,-37.9591,145.15200000000002,14,96.9,30,6.0,30159
Kilvington Grammar School,Ormond,Combined,Non-Gov,Major Cities,-37.8995,145.041,4,97.1,34,14.5,14729
Kingswood College,Box Hill,Combined,Non-Gov,Major Cities,-37.8328,145.119,15,89.4,32,11.5,19872
Kolbe Catholic College,Greenvale,Secondary,Non-Gov,Major Cities,-37.6157,144.91,17,92.5,26,1.4,31951
Koonung Secondary College,Mont Albert North,Secondary,Gov,Major Cities,-37.8037,145.116,20,92.9,32,9.1,18582
Korowa Anglican Girls' School,Glen Iris,Combined,Non-Gov,Major Cities,-37.8615,145.055,5,100.0,36,27.2,13272
Kurunjang Secondary College,Melton,Secondary,Gov,Major Cities,-37.6732,144.586,31,78.4,26,2.6,44759
Kyabram P-12 College,Kyabram,Combined,Gov,Inner Regional,-36.3175,145.056,23,63.3,29,0.0,209797
Lake Bolac College,Lake Bolac,Combined,Gov,Outer Regional,-37.7202,142.838,8,50.0,24,0.0,228575
Lakeview Senior College,Caroline Springs,Secondary,Gov,Major Cities,-37.7312,144.74,33,88.2,27,3.1,30292
Lalor Secondary College,Lalor,Secondary,Gov,Major Cities,-37.6727,145.031,20,69.2,28,3.1,32995
Lara Secondary College,Lara,Secondary,Gov,Major Cities,-38.0184,144.412,26,46.0,24,2.4,60123
Lavalla Catholic College,Traralgon,Secondary,Non-Gov,Inner Regional,-38.2009,146.514,25,65.9,28,4.8,162532
